name,Total,Percent of PWD,older than 65 yrs,
종로구,153255,1.636488206,27787,18.13121921
중구,131673,1.897123936,24841,18.86567482
용산구,236632,1.374708408,38784,16.39000642
성동구,290664,1.741185699,47347,16.28925495
광진구,352796,1.534881348,53405,15.13764328
동대문구,352743,2.002874614,63807,18.08880687
중랑구,393147,2.407496433,74112,18.85096414
성북구,443823,1.717125971,76719,17.28594507
강북구,300246,2.510607968,65655,21.867069
도봉구,316916,2.069318053,66253,20.90553964
노원구,512162,2.230934743,90914,17.75102409
은평구,477460,1.860679429,89308,18.70481297
서대문구,317515,1.660393997,55404,17.44925437
마포구,378290,1.440164953,55525,14.67789262
양천구,447738,1.702334848,71333,15.93186194
강서구,578465,2.060798838,95836,16.56729448
구로구,418709,1.910396003,75041,17.92199356
금천구,245231,2.055205092,42444,17.30776288
영등포구,399722,1.58084869,64285,16.08242729
동작구,395030,1.535326431,67863,17.17920158
관악구,500841,1.718110139,81713,16.3151579
서초구,411515,0.997776509,61703,14.99410714
강남구,536710,1.111587263,80836,15.06139256
송파구,668638,1.260472782,102103,15.27029574
강동구,465496,1.69775895,773,0.166059429
